compound_id,full_smiles,donor_smiles,bridge_smiles,acceptor_smiles,core_smiles,C2,,,,
1,OC(/C=C1C(OC(C)(C)OC/1=O)=O)=C\C=C\N2CCC3=C2C=CC=C3,[*:5]N1CCC2=C1C=CC=C2,[*:1]=C/C([*:2])=C/C=C/[*:5],CC(OC1=O)(C)OC(C1=[*:1])=O,[H]C(C1=CC=CO1)=O,O[*:2],,,,
2,OC(/C=C1C(OC(C)(C)OC/1=O)=O)=C\C=C(C)\N2CCC3=C2C=CC=C3,[*:5]N1CCC2=C1C=CC=C2,[*:1]=C/C([*:2])=C/C=C(C)/[*:5],CC(OC1=O)(C)OC(C1=[*:1])=O,[H]C(C1=CC=C(C)O1)=O,O[*:2],,,,
3,OC(/C=C1C(OC(C)(C)OC/1=O)=O)=C\C=C2N(C3=CC=CC=C3)CCC\2,[*:6]N([*:5])C1=CC=CC=C1,[*:1]=C/C([*:2])=C/C=C(CCC[*:6])/[*:5],CC(OC1=O)(C)OC(C1=[*:1])=O,[H]C(C1=CC=C(CCCOS(C2=CC=C(C)C=C2)(=O)=O)O1)=O,O[*:2],,,,
4,OC(/C=C1C(C)=NN(C2=CC=CC=C2)C/1=O)=C\C=C3N(C4=CC=CC=C4)CCC\3,[*:6]N([*:5])C1=CC=CC=C1,[*:1]=C/C([*:2])=C/C=C(CCC[*:6])/[*:5],O=C1N(C2=CC=CC=C2)N=C(C)C1=[*:1],[H]C(C1=CC=C(CCCOS(C2=CC=C(C)C=C2)(=O)=O)O1)=O,O[*:2],,,,
5,OC(/C=C1C(C)=NN(C2=CC=CC=C2)C/1=O)=C\C=C3N(C4=CC=C(I)C=C4)CCC\3,[*:6]N([*:5])C1=CC=C(I)C=C1,[*:1]=C/C([*:2])=C/C=C(CCC[*:6])/[*:5],O=C1N(C2=CC=CC=C2)N=C(C)C1=[*:1],[H]C(C1=CC=C(CCCOS(C2=CC=C(C)C=C2)(=O)=O)O1)=O,O[*:2],,,,
6,OC(/C=C1C(OC(C)(C)OC/1=O)=O)=C\C=C\N(C)C,CN([*:5])C,[*:1]=C/C([*:2])=C/C=C/[*:5],CC(OC1=O)(C)OC(C1=[*:1])=O,[H]C(C1=CC=CO1)=O,O[*:2],,,,
7,OC(/C=C1C(OC(C)(C)OC/1=O)=O)=C\C=C\N2C(C)CC3=C2C=CC=C3,[*:5]N1C(C)CC2=C1C=CC=C2,[*:1]=C/C([*:2])=C/C=C/[*:5],CC(OC1=O)(C)OC(C1=[*:1])=O,[H]C(C1=CC=CO1)=O,O[*:2],,,,
8,OC(/C=C1C(N(C)C(N(C)C/1=O)=O)=O)=C\C=C\N2C(C)CC3=C2C=CC=C3,[*:5]N1C(C)CC2=C1C=CC=C2,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C(C(C(N1C)=O)=[*:1])N(C)C1=O,[H]C(C1=CC=CO1)=O,O[*:2],,,,
9,OC(/C=C1C(N(C2=CC=CC=C2)N=C/1C(F)(F)F)=O)=C\C=C\N3C(C)CC4=C3C=CC=C4,[*:5]N1C(C)CC2=C1C=CC=C2,[*:1]=C/C([*:2])=C/C=C/[*:5],[*:1]=C1C(N(C2=CC=CC=C2)N=C1C(F)(F)F)=O,[H]C(C1=CC=CO1)=O,O[*:2],,,,
10,O=C(C1=C2C=CC=C1)/C(C2=O)=C/C(O)=C/C=C/N3C(C)CC4=C3C=CC=C4,[*:5]N1C(C)CC2=C1C=CC=C2,[*:1]=C/C([*:2])=C/C=C/[*:5],[*:1]=C(C(C1=C2C=CC=C1)=O)C2=O,[H]C(C1=CC=CO1)=O,O[*:2],,,,
11,OC(/C=C1C(OC(C)(C)OC/1=O)=O)=C\C=C\N(C)C2=CC=C(N(C)C)C=C2,CN([*:5])C1=CC=C(N(C)C)C=C1,[*:1]=C/C([*:2])=C/C=C/[*:5],CC(OC1=O)(C)OC(C1=[*:1])=O,[H]C(C1=CC=CO1)=O,O[*:2],,,,
12,OC(/C=C1C(OC(C)(C)OC/1=O)=O)=C\C=C\N(C)C2=CC=C(OC)C=C2,CN([*:5])C1=CC=C(OC)C=C1,[*:1]=C/C([*:2])=C/C=C/[*:5],CC(OC1=O)(C)OC(C1=[*:1])=O,[H]C(C1=CC=CO1)=O,O[*:2],,,,
13,OC(/C=C1C(OC(C)(C)OC/1=O)=O)=C\C=C\N(C)C2=CC=CC=C2,CN([*:5])C1=CC=CC=C1,[*:1]=C/C([*:2])=C/C=C/[*:5],CC(OC1=O)(C)OC(C1=[*:1])=O,[H]C(C1=CC=CO1)=O,O[*:2],,,,
14,OC(/C=C1C(OC(C)(C)OC/1=O)=O)=C\C=C\N(C)C2=CC=C(F)C=C2,CN([*:5])C1=CC=C(F)C=C1,[*:1]=C/C([*:2])=C/C=C/[*:5],CC(OC1=O)(C)OC(C1=[*:1])=O,[H]C(C1=CC=CO1)=O,O[*:2],,,,
15,OC(/C=C1C(OC(C)(C)OC/1=O)=O)=C\C=C\N(CC)CC,[*:5]N(CC)CC,[*:1]=C/C([*:2])=C/C=C/[*:5],CC(OC1=O)(C)OC(C1=[*:1])=O,[H]C(C1=CC=CO1)=O,O[*:2],,,,
16,OC(/C=C1C(N(C)C(N(C)C/1=O)=O)=O)=C\C=C\N(CC)CC,[*:5]N(CC)CC,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C(C(C(N1C)=O)=[*:1])N(C)C1=O,[H]C(C1=CC=CO1)=O,O[*:2],,,,
17,OC(/C=C1C(N(C2=CC=CC=C2)N(C3=CC=CC=C3)C/1=O)=O)=C\C=C\N4C(C)CC5=C4C=CC=C5,[*:5]N1C(C)CC2=C1C=CC=C2,[*:1]=C/C([*:2])=C/C=C/[*:5],[*:1]=C1C(N(C2=CC=CC=C2)N(C3=CC=CC=C3)C1=O)=O,[H]C(C1=CC=CO1)=O,O[*:2],,,,
18,OC(/C=C1C(C)=NOC/1=O)=C\C=C\N2C(C)CC3=C2C=CC=C3,[*:5]N1C(C)CC2=C1C=CC=C2,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C1ON=C(C)C1=[*:1],[H]C(C1=CC=CO1)=O,O[*:2],,,,
19,OC(/C=C1C(C(F)(F)F)=NOC/1=O)=C\C=C\N2C(C)CC3=C2C=CC=C3,[*:5]N1C(C)CC2=C1C=CC=C2,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C1ON=C(C(F)(F)F)C1=[*:1],[H]C(C1=CC=CO1)=O,O[*:2],,,,
20,OC(/C=C1C(C)=C(C#N)C(N(CCCC)C/1=O)=O)=C\C=C\N2C(C)CC3=C2C=CC=C3,[*:5]N1C(C)CC2=C1C=CC=C2,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C(C(C(C)=C1C#N)=[*:1])N(CCCC)C1=O,[H]C(C1=CC=CO1)=O,O[*:2],,,,
21,OC(/C=C1C(N(C2=CC=CC=C2)N(C3=CC=CC=C3)C/1=O)=O)=C\C=C\N(CC)CC,[*:5]N(CC)CC,[*:1]=C/C([*:2])=C/C=C/[*:5],[*:1]=C1C(N(C2=CC=CC=C2)N(C3=CC=CC=C3)C1=O)=O,[H]C(C1=CC=CO1)=O,O[*:2],,,,
22,OC(/C=C1C(C)=NOC/1=O)=C\C=C\N(CC)CC,[*:5]N(CC)CC,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C1ON=C(C)C1=[*:1],[H]C(C1=CC=CO1)=O,O[*:2],,,,
23,OC(/C=C1C(C(F)(F)F)=NOC/1=O)=C\C=C\N(CC)CC,[*:5]N(CC)CC,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C1ON=C(C(F)(F)F)C1=[*:1],[H]C(C1=CC=CO1)=O,O[*:2],,,,
24,OC(/C=C1C(C(F)(F)F)=NN(C2=CC=CC=C2)C/1=O)=C\C=C\N(CC)CC,[*:5]N(CC)CC,[*:1]=C/C([*:2])=C/C=C/[*:5],[*:1]=C1C(N(C2=CC=CC=C2)N=C1C(F)(F)F)=O,[H]C(C1=CC=CO1)=O,O[*:2],,,,
